0.00000 & 0.25000 & 0.50000 & 0.75000 & 1.00000 \\
0.00000 & 0.24650 & 0.49403 & 0.74417 & 1.00000 \\
0.00000 & 0.24578 & 0.49299 & 0.74348 & 1.00000 \\
0.00000 & 0.24659 & 0.49444 & 0.74501 & 1.00000 \\
0.00000 & 0.24821 & 0.49718 & 0.74761 & 1.00000 \\
0.00000 & 0.25026 & 0.50056 & 0.75071 & 1.00000 \\
0.00000 & 0.25247 & 0.50415 & 0.75394 & 1.00000 \\
0.00000 & 0.25464 & 0.50765 & 0.75702 & 1.00000 \\
0.00000 & 0.25663 & 0.51083 & 0.75979 & 1.00000 \\
0.00000 & 0.25833 & 0.51352 & 0.76211 & 1.00000 \\
0.00000 & 0.25962 & 0.51558 & 0.76388 & 1.00000 \\
0.00000 & 0.26042 & 0.51685 & 0.76499 & 1.00000 \\
0.00000 & 0.26058 & 0.51715 & 0.76532 & 1.00000 \\
0.00000 & 0.25992 & 0.51619 & 0.76464 & 1.00000 \\
0.00000 & 0.25820 & 0.51353 & 0.76252 & 1.00000 \\
0.00000 & 0.25505 & 0.50848 & 0.75818 & 1.00000 \\
0.00000 & 0.25000 & 0.50000 & 0.75000 & 1.00000 \\
